order_id,Customes_name,city,state,order_date,total_units,revenue,product_name,category_name,store_name,sales_representative,staff_id,brand_name
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Surly
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,Trek
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,Trek
2,Jaqueline Cummings,Huntington Station,NY,01-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
2,Jaqueline Cummings,Huntington Station,NY,01-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
3,Joshua Robertson,Patchogue,NY,02-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
3,Joshua Robertson,Patchogue,NY,02-01-2016,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Surly
4,Nova Hess,Duarte,CA,03-01-2016,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Ritchey
5,Arla Ellis,Utica,NY,03-01-2016,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
5,Arla Ellis,Utica,NY,03-01-2016,1,429,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
5,Arla Ellis,Utica,NY,03-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,6,Surly
6,Sharyn Hopkins,Baldwinsville,NY,04-01-2016,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
6,Sharyn Hopkins,Baldwinsville,NY,04-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
6,Sharyn Hopkins,Baldwinsville,NY,04-01-2016,1,449,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
6,Sharyn Hopkins,Baldwinsville,NY,04-01-2016,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Surly
6,Sharyn Hopkins,Baldwinsville,NY,04-01-2016,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
7,Laureen Paul,Bellmore,NY,04-01-2016,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
7,Laureen Paul,Bellmore,NY,04-01-2016,2,858,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
7,Laureen Paul,Bellmore,NY,04-01-2016,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Surly
8,Leslie Higgins,Saratoga Springs,NY,04-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
8,Leslie Higgins,Saratoga Springs,NY,04-01-2016,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
9,Neil Mccall,San Carlos,CA,05-01-2016,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,Trek
10,Alane Munoz,Yonkers,NY,05-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
11,Tarra Guerrero,Auburn,NY,05-01-2016,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
11,Tarra Guerrero,Auburn,NY,05-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
11,Tarra Guerrero,Auburn,NY,05-01-2016,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
